model,year,price,transmission,mileage,fuelType,tax(£),mpg,engineSize
 I20,2014,4980,Manual,41500,Petrol,30,57.6,1.2
 I40,2014,7600,Manual,38406,Diesel,30,62.8,1.7
 I20,2017,8990,Manual,23434,Petrol,145,55.4,1.2
 I10,2018,7500,Manual,15927,Petrol,145,60.1,1.0
 Tucson,2019,16000,Manual,6320,Petrol,145,35.3,1.6
 Santa Fe,2019,34000,Semi-Auto,5931,Diesel,145,39.2,2.2
 Tucson,2020,23500,Manual,4092,Diesel,145,48.7,1.6
 IX20,2015,9495,Automatic,9767,Petrol,160,43.5,1.6
 Tucson,2016,12600,Manual,35474,Diesel,30,61.7,1.7
 I10,2018,8000,Manual,9598,Petrol,145,60.1,1.0
 IX20,2016,8590,Manual,17611,Petrol,125,50.4,1.4
 I30,2017,10290,Manual,22298,Diesel,0,74.3,1.6
 I30,2018,13510,Semi-Auto,11196,Diesel,145,68.9,1.6
 I20,2017,7291,Manual,35832,Petrol,145,55.4,1.2
 I20,2013,4121,Manual,67689,Petrol,125,52.3,1.4
 Tucson,2017,13056,Manual,62308,Diesel,125,58.9,2.0
 I10,2016,5191,Manual,28224,Petrol,20,61.4,1.0
 Ioniq,2017,15499,Automatic,9400,Hybrid,135,78.5,1.6
 I30,2013,5995,Manual,59382,Petrol,160,46.0,1.4
 I10,2017,6390,Manual,35000,Petrol,145,57.7,1.2
 Kona,2018,14290,Manual,6733,Petrol,145,52.3,1.0
 Kona,2017,11990,Manual,21858,Petrol,145,52.3,1.0
 I20,2017,7799,Manual,20000,Petrol,30,55.4,1.2
 I20,2017,7995,Manual,2812,Petrol,30,58.9,1.2
 Tucson,2019,18500,Manual,16003,Petrol,145,34.9,1.6
 Ioniq,2019,17998,Automatic,10617,Hybrid,135,78.5,1.6
 I10,2017,7600,Manual,32412,Petrol,145,60.1,1.0
 I10,2018,8490,Manual,16380,Petrol,145,60.1,1.0
 I10,2018,8490,Manual,19995,Petrol,145,60.1,1.0
 Tucson,2019,21750,Automatic,11057,Diesel,145,47.1,1.6
 I40,2017,10465,Manual,34328,Diesel,145,67.3,1.7
 I800,2019,19965,Automatic,12450,Diesel,145,28.0,2.5
 I10,2018,7465,Manual,19931,Petrol,150,60.1,1.0
 Tucson,2017,14498,Manual,24598,Diesel,125,58.9,2.0
 I30,2013,4998,Manual,61735,Diesel,0,76.3,1.6
 Kona,2019,13480,Manual,6964,Petrol,150,44.1,1.0
 I20,2019,9795,Manual,6979,Petrol,145,46.3,1.2
 Santa Fe,2018,29000,Semi-Auto,19935,Diesel,145,39.2,2.2
 I30,2017,8995,Manual,23786,Petrol,145,48.7,1.4
 I40,2017,9999,Manual,38472,Diesel,145,65.7,1.7
 I20,2013,4495,Manual,33000,Petrol,30,57.6,1.2
 I10,2017,6089,Manual,52539,Petrol,30,57.7,1.2
 IX20,2017,9200,Manual,17899,Petrol,150,50.4,1.4
 IX35,2015,8090,Manual,64708,Diesel,150,53.3,1.7
 Santa Fe,2019,32995,Semi-Auto,1642,Diesel,150,39.8,2.2
 Tucson,2017,12990,Manual,19769,Petrol,150,44.8,1.6
 I800,2018,16790,Automatic,21600,Diesel,150,33.6,2.5
 I20,2016,7995,Manual,17124,Petrol,30,58.9,1.2
 I10,2016,6995,Manual,7418,Petrol,20,60.1,1.0
 Tucson,2019,21000,Automatic,14690,Diesel,145,47.1,1.6
 I30,2020,26995,Manual,1000,Petrol,145,34.0,2.0
 I20,2013,5400,Manual,24003,Petrol,125,54.3,1.4
 IX20,2017,9500,Manual,11567,Petrol,145,50.4,1.4
 I20,2016,6400,Manual,45770,Petrol,20,60.1,1.2
 IX20,2013,6995,Automatic,50150,Petrol,200,43.6,1.6
 Ioniq,2019,21800,Semi-Auto,2439,Hybrid,135,62.8,1.6
 I20,2016,7995,Manual,23500,Petrol,20,58.9,1.0
 I10,2014,4998,Manual,31592,Petrol,20,60.1,1.0
 Tucson,2019,21490,Manual,101,Petrol,145,34.9,1.6
 I10,2020,13995,Manual,1500,Petrol,145,53.3,1.0
 Kona,2020,25195,Automatic,1500,Hybrid,135,52.3,1.6
 I10,2017,8995,Manual,14620,Petrol,145,57.7,1.2
 Kona,2018,15000,Manual,7557,Petrol,150,52.3,1.0
 Kona,2018,15000,Manual,10434,Petrol,150,44.1,1.0
 IX35,2015,7450,Manual,63917,Diesel,150,53.3,1.7
 I10,2016,5995,Manual,29203,Petrol,20,60.1,1.0
 Ioniq,2018,15490,Semi-Auto,30381,Hybrid,135,78.5,1.6
 I10,2019,8395,Manual,16108,Petrol,145,57.6,1.2
 Santa Fe,2016,18990,Semi-Auto,14157,Diesel,235,42.2,2.2
 Tucson,2017,13490,Manual,21692,Petrol,160,44.8,1.6
 I10,2020,11990,Manual,3213,Petrol,145,56.5,1.0
 I10,2017,7000,Manual,23329,Petrol,145,60.1,1.0
 Tucson,2017,14000,Manual,34545,Diesel,30,61.7,1.7
 I10,2018,8490,Manual,14804,Petrol,145,60.1,1.0
 I10,2017,7295,Manual,32000,Petrol,150,57.7,1.2
 I40,2016,8995,Manual,48687,Diesel,30,65.7,1.7
 IX20,2015,6495,Manual,23989,Petrol,125,50.4,1.4
 Tucson,2017,13960,Manual,33585,Diesel,145,54.3,2.0
 Santa Fe,2016,20495,Semi-Auto,28000,Diesel,240,42.8,2.2
 I20,2015,7995,Manual,29658,Petrol,30,55.4,1.2
 Kona,2018,14680,Manual,7400,Petrol,145,44.1,1.0
 Kona,2018,13647,Manual,19036,Petrol,145,52.3,1.0
 I10,2017,8991,Semi-Auto,15917,Petrol,145,47.9,1.2
 Tucson,2017,14550,Semi-Auto,12322,Diesel,125,57.6,1.7
 I10,2016,5722,Manual,44965,Petrol,30,57.6,1.2
 IX20,2017,9490,Manual,21354,Petrol,145,50.4,1.4
 I10,2019,8990,Manual,2898,Petrol,145,49.6,1.0
 Ioniq,2018,17690,Automatic,15014,Hybrid,135,78.5,1.6
 I10,2017,6660,Manual,18732,Petrol,145,60.1,1.0
 I10,2018,7560,Manual,8623,Petrol,145,60.1,1.0
 I10,2019,9800,Manual,691,Petrol,145,49.6,1.0
 Santa Fe,2019,33900,Automatic,1173,Diesel,145,39.2,2.2
 Tucson,2019,20970,Manual,575,Petrol,145,34.9,1.6
 I10,2016,5990,Manual,23315,Petrol,20,60.1,1.0
 I10,2016,6750,Manual,16422,Petrol,20,60.1,1.0
 Santa Fe,2019,33995,Automatic,6363,Diesel,145,42.8,2.2
 I800,2018,16995,Automatic,32672,Diesel,145,28.0,2.5
 Ioniq,2018,16995,Semi-Auto,9192,Hybrid,135,78.5,1.6
 I30,2018,10950,Manual,38687,Petrol,145,52.3,1.4
 I10,2017,8995,Manual,11086,Petrol,30,57.7,1.2
 Santa Fe,2016,15995,Automatic,42812,Diesel,235,42.2,2.2
 Tucson,2020,24495,Semi-Auto,2500,Petrol,145,36.2,1.6
 Ioniq,2017,17870,Automatic,6467,Hybrid,135,78.5,1.6
 Kona,2017,11980,Manual,20401,Petrol,145,52.3,1.0
 Kona,2019,14680,Manual,8550,Petrol,145,44.1,1.0
 I20,2018,8970,Manual,10248,Petrol,145,58.9,1.2
 I20,2019,11670,Manual,2928,Petrol,145,47.9,1.0
 Ioniq,2017,16970,Automatic,13789,Hybrid,135,78.5,1.6
 I10,2019,9770,Manual,17401,Petrol,145,57.6,1.2
 I10,2016,7970,Manual,12552,Petrol,30,57.6,1.2
 I10,2020,12495,Manual,2100,Petrol,145,56.5,1.0
 I30,2018,11455,Manual,10014,Petrol,145,56.5,1.0
 Ioniq,2019,16498,Automatic,7192,Hybrid,140,78.5,1.6
 Tucson,2017,15998,Semi-Auto,5060,Diesel,125,57.6,1.7
 Ioniq,2019,17270,Automatic,5931,Hybrid,135,78.5,1.6
 I20,2016,7970,Manual,10916,Petrol,30,56.5,1.2
 Ioniq,2019,18570,Automatic,961,Hybrid,135,78.5,1.6
 Kona,2020,20970,Manual,1000,Petrol,145,44.1,1.0
 Santa Fe,2019,35495,Semi-Auto,25,Diesel,145,39.8,2.2
 IX20,2017,9670,Manual,7609,Petrol,145,50.4,1.4
 Tucson,2016,13495,Manual,17103,Diesel,30,61.7,1.7
 I10,2017,6970,Manual,18044,Petrol,145,60.1,1.0
 I20,2017,7870,Manual,30314,Petrol,145,58.9,1.2
 I20,2018,8980,Manual,12185,Petrol,145,55.4,1.2
 Ioniq,2019,21780,Automatic,4489,Hybrid,135,62.8,1.6
 Tucson,2019,25980,Automatic,5792,Hybrid,145,50.4,1.6
 I10,2018,8280,Manual,5685,Petrol,145,60.1,1.0
 I10,2014,5580,Manual,31575,Petrol,30,57.6,1.2
 I20,2020,12980,Manual,1298,Petrol,145,46.3,1.2
 Ioniq,2018,13495,Automatic,29248,Hybrid,135,78.5,1.6
 Tucson,2016,15995,Manual,36238,Diesel,150,54.3,2.0
 I30,2018,14550,Semi-Auto,9870,Diesel,145,68.9,1.6
 Santa Fe,2019,32570,Semi-Auto,9923,Diesel,145,39.2,2.2
 I30,2019,24970,Manual,1500,Petrol,145,34.0,2.0
 I10,2020,13495,Manual,1600,Petrol,145,53.3,1.0
 I20,2016,6980,Manual,31163,Petrol,30,55.4,1.2
 I10,2019,7698,Manual,3655,Petrol,150,60.1,1.0
 Tucson,2017,11998,Manual,24049,Diesel,150,61.7,1.7
 I20,2016,6400,Manual,45770,Petrol,20,60.1,1.2
 I20,2016,7995,Manual,23500,Petrol,20,58.9,1.0
 IX20,2013,6995,Automatic,50150,Petrol,200,43.6,1.6
 I10,2015,6995,Manual,18374,Petrol,30,57.6,1.2
 I10,2019,9195,Manual,2323,Petrol,145,49.6,1.0
 Santa Fe,2018,31995,Semi-Auto,9176,Diesel,145,39.2,2.2
 I20,2016,7175,Manual,26543,Petrol,30,55.4,1.2
 IX35,2013,6999,Manual,55472,Diesel,145,53.3,1.7
 I30,2018,11298,Manual,17704,Petrol,150,56.5,1.0
 Tucson,2017,15698,Semi-Auto,16768,Diesel,125,57.6,1.7
 Kona,2018,12498,Manual,17789,Petrol,145,52.3,1.0
 Tucson,2019,15498,Manual,14231,Petrol,145,34.9,1.6
 Tucson,2017,13498,Manual,21025,Diesel,30,61.7,1.7
 Tucson,2016,11823,Manual,46601,Diesel,30,61.7,1.7
 I30,2013,6000,Manual,47176,Diesel,0,76.3,1.6
 Ioniq,2019,15970,Automatic,8601,Hybrid,135,78.5,1.6
 Kona,2017,12470,Manual,22300,Diesel,150,74.3,1.0
 Kona,2019,14470,Manual,20490,Petrol,150,44.1,1.0
 IX20,2018,10350,Manual,10612,Petrol,150,50.4,1.4
 I10,2017,7998,Manual,19625,Petrol,145,57.7,1.2
 Tucson,2015,10995,Manual,54411,Diesel,30,61.7,1.7
 I30,2015,7298,Manual,59040,Diesel,0,78.4,1.6
 Tucson,2017,15498,Semi-Auto,14376,Diesel,125,57.6,1.7
 Tucson,2018,16780,Semi-Auto,33530,Petrol,145,39.8,1.6
 Kona,2020,25280,Automatic,2083,Hybrid,135,52.3,1.6
 Ioniq,2019,22680,Automatic,4868,Hybrid,135,62.8,1.6
 Ioniq,2017,15780,Automatic,22293,Hybrid,0,78.5,1.6
 Tucson,2020,25180,Automatic,978,Petrol,145,35.8,1.6
 Tucson,2020,25980,Automatic,1298,Hybrid,145,50.4,1.6
 I30,2020,25280,Manual,2148,Petrol,145,34.0,2.0
 Tucson,2017,13791,Manual,50313,Diesel,125,58.9,2.0
 I30,2019,16980,Manual,2180,Petrol,145,42.2,1.4
 Santa Fe,2018,20842,Manual,21588,Diesel,145,47.1,2.2
 Tucson,2017,13698,Manual,15040,Diesel,145,61.7,1.7
 I10,2016,5998,Manual,26753,Petrol,20,60.1,1.0
 I10,2017,5698,Manual,31037,Petrol,20,60.1,1.0
 I30,2017,13488,Semi-Auto,17845,Petrol,145,51.4,1.4
 I10,2015,6995,Manual,36188,Petrol,30,57.6,1.2
 IX35,2015,10495,Automatic,39661,Diesel,265,41.5,2.0
 IX20,2016,8470,Manual,21941,Petrol,125,50.4,1.4
 IX20,2013,5995,Manual,15566,Petrol,145,45.6,1.4
 I10,2017,7795,Manual,16609,Petrol,30,57.7,1.2
 I10,2020,13995,Manual,3000,Petrol,145,56.5,1.0
 I10,2020,14995,Manual,1000,Petrol,145,53.3,1.0
 I30,2018,14995,Manual,1502,Petrol,145,49.6,2.0
 I30,2016,9795,Manual,42310,Diesel,20,72.4,1.6
 I10,2016,6495,Manual,25026,Petrol,20,61.4,1.0
 I20,2016,8995,Manual,12335,Petrol,30,56.5,1.2
 Ioniq,2017,16495,Automatic,19096,Hybrid,0,78.5,1.6
 Kona,2018,14995,Manual,15371,Petrol,145,52.3,1.0
 I20,2016,6995,Manual,41607,Petrol,30,58.9,1.2
 I10,2019,8470,Manual,9586,Petrol,145,60.1,1.0
 I10,2019,8670,Manual,8875,Petrol,145,57.6,1.2
 Tucson,2019,21995,Manual,1541,Petrol,145,35.3,1.6
 Kona,2019,15995,Manual,1442,Petrol,145,44.1,1.0
 Tucson,2019,21995,Manual,5981,Petrol,145,34.9,1.6
 I30,2019,17995,Manual,1000,Petrol,145,41.5,1.4
 I20,2019,13995,Manual,1000,Petrol,145,46.3,1.2
 I40,2015,11995,Automatic,17200,Diesel,200,47.1,1.7
 I20,2016,8795,Manual,8598,Petrol,30,55.4,1.2
 I20,2017,8995,Manual,18916,Petrol,145,58.9,1.2
 I10,2019,9470,Manual,10292,Petrol,145,57.6,1.2
 I10,2019,8970,Manual,9290,Petrol,145,57.6,1.2
 I20,2019,10970,Manual,7811,Petrol,145,46.3,1.2
 I30,2018,13470,Semi-Auto,13209,Diesel,150,68.9,1.6
 I30,2019,23970,Manual,20,Petrol,150,34.0,2.0
 I30,2019,20970,Manual,20,Petrol,150,34.9,2.0
 Santa Fe,2017,19470,Semi-Auto,39589,Diesel,240,42.8,2.2
 I30,2017,11470,Semi-Auto,16844,Petrol,150,51.4,1.4
 Kona,2019,22970,Semi-Auto,100,Petrol,145,37.7,1.6
 Tucson,2018,14970,Manual,10354,Petrol,145,44.8,1.6
 Ioniq,2019,22970,Automatic,6000,Hybrid,135,62.8,1.6
 I10,2019,8470,Manual,9932,Petrol,145,60.1,1.0
 I10,2017,7470,Manual,15061,Petrol,30,57.7,1.2
 Tucson,2017,15970,Manual,19179,Diesel,30,61.4,1.7
 I20,2015,7995,Manual,19800,Petrol,30,55.4,1.2
 I20,2015,7995,Manual,19935,Petrol,30,55.4,1.2
 I10,2015,6250,Manual,23869,Petrol,20,60.1,1.0
 I10,2018,8470,Manual,5713,Petrol,145,60.1,1.0
 I10,2019,9970,Manual,11938,Petrol,145,57.6,1.2
 I10,2019,8970,Manual,10871,Petrol,145,60.1,1.0
 I10,2017,7470,Manual,6955,Petrol,145,60.1,1.0
 I10,2019,10470,Manual,8639,Petrol,145,57.6,1.2
 Santa Fe,2016,16470,Manual,39979,Diesel,200,47.1,2.2
 Ioniq,2018,18970,Automatic,14886,Hybrid,135,256.8,1.6
 I30,2018,13470,Semi-Auto,6726,Diesel,145,68.9,1.6
 Santa Fe,2017,18670,Manual,41109,Diesel,200,47.1,2.2
 Ioniq,2019,19970,Automatic,8837,Hybrid,135,78.5,1.6
 Tucson,2017,15470,Manual,13751,Diesel,145,61.7,1.7
 I10,2019,9970,Manual,11782,Petrol,145,57.6,1.2
 Ioniq,2017,15470,Automatic,14673,Hybrid,0,78.5,1.6
 I20,2015,7995,Manual,16533,Petrol,30,55.4,1.2
 IX20,2018,15495,Manual,2259,Petrol,145,37.2,1.6
 I10,2019,11495,Manual,500,Petrol,145,60.1,1.0
 I20,2013,5495,Manual,30252,Petrol,30,57.6,1.2
 I20,2014,5895,Manual,30950,Petrol,30,57.6,1.2
 IX35,2015,7995,Manual,67648,Diesel,145,54.3,1.7
 IX20,2018,11490,Manual,25833,Petrol,145,50.4,1.4
 Tucson,2017,13280,Manual,22138,Diesel,145,61.7,1.7
 Ioniq,2018,15980,Automatic,14585,Hybrid,140,78.5,1.6
 Tucson,2015,11990,Manual,72712,Diesel,125,58.9,2.0
 I30,2016,9298,Manual,23857,Diesel,0,78.4,1.6
 Tucson,2016,8698,Manual,81050,Petrol,160,44.8,1.6
 Tucson,2016,13798,Manual,42252,Diesel,205,47.9,2.0
 I10,2019,8970,Manual,11544,Petrol,145,57.6,1.2
 IX20,2016,7970,Manual,25969,Petrol,125,50.4,1.4
 Kona,2019,13970,Manual,7178,Petrol,145,44.1,1.0
 I10,2019,8270,Manual,8835,Petrol,145,60.1,1.0
 I30,2017,9499,Manual,18539,Diesel,145,78.4,1.6
 I10,2017,6900,Manual,31534,Petrol,145,57.7,1.2
 IX20,2016,8050,Manual,27815,Petrol,125,50.4,1.4
 IX35,2015,8991,Manual,40096,Diesel,145,54.3,1.7
 I800,2018,15838,Manual,33389,Diesel,145,31.7,2.5
 Tucson,2018,17782,Semi-Auto,12037,Petrol,145,39.8,1.6
 I40,2017,12450,Manual,27145,Diesel,145,65.7,1.7
 I800,2018,15280,Automatic,29746,Diesel,145,31.7,2.5
 I30,2019,17480,Manual,2244,Petrol,145,42.2,1.4
 I10,2018,7125,Manual,28890,Petrol,145,60.1,1.0
 I10,2018,7180,Manual,29157,Petrol,145,60.1,1.0
 Ioniq,2019,17480,Automatic,5047,Hybrid,135,78.5,1.6
 Tucson,2018,13980,Manual,12085,Diesel,145,61.7,1.7
 IX20,2017,8780,Manual,15956,Petrol,145,50.4,1.4
 I30,2019,22880,Manual,6996,Petrol,145,34.0,2.0
 I10,2017,6780,Manual,30346,Petrol,145,60.1,1.0
 Tucson,2018,15280,Manual,9606,Petrol,145,34.9,1.6
 Tucson,2020,26000,Manual,1451,Hybrid,145,47.9,1.6
 I20,2017,7180,Manual,37500,Petrol,30,58.9,1.2
 Kona,2019,22000,Semi-Auto,18,Petrol,145,37.7,1.6
 I40,2016,11180,Manual,31731,Diesel,30,65.7,1.7
 Tucson,2020,23480,Semi-Auto,3100,Petrol,145,36.2,1.6
 Ioniq,2019,18480,Automatic,14031,Hybrid,135,78.5,1.6
 Ioniq,2019,22680,Automatic,3704,Hybrid,135,78.5,1.6
 I10,2016,6480,Manual,20295,Petrol,30,57.6,1.2
 Tucson,2019,25499,Automatic,2003,Hybrid,145,50.4,1.6
 Tucson,2017,12990,Manual,36357,Diesel,30,61.7,1.7
 I10,2020,13000,Manual,500,Petrol,145,53.3,1.0
 I30,2014,6800,Manual,39260,Petrol,160,44.1,1.6
 Santa Fe,2020,35500,Semi-Auto,1500,Diesel,145,39.2,2.2
 I10,2017,7000,Manual,8962,Petrol,145,60.1,1.0
 Tucson,2017,16990,Manual,7608,Petrol,145,38.7,1.6
 Tucson,2016,14990,Automatic,21656,Diesel,200,47.1,2.0
 Ioniq,2019,20500,Semi-Auto,1750,Hybrid,135,62.8,1.6
 Ioniq,2020,22000,Automatic,1500,Hybrid,135,62.8,1.6
 I10,2015,6490,Manual,14787,Petrol,30,57.6,1.2
 Ioniq,2019,16750,Automatic,10547,Hybrid,135,78.5,1.6
 I40,2016,10610,Manual,45142,Diesel,30,65.7,1.7
 IX35,2014,7750,Manual,39472,Petrol,200,41.5,1.6
 I10,2017,7380,Manual,26628,Petrol,145,57.7,1.2
 I30,2016,9000,Manual,32795,Diesel,0,78.4,1.6
 I10,2017,6400,Manual,30500,Petrol,145,57.7,1.2
 I800,2018,16500,Automatic,36862,Diesel,145,28.0,2.5
 Santa Fe,2015,15000,Manual,50715,Diesel,200,46.3,2.2
 I10,2017,7500,Manual,8652,Petrol,20,60.1,1.0
 Kona,2020,23000,Automatic,1000,Hybrid,135,52.3,1.6
 I30,2016,7790,Manual,45985,Diesel,0,78.4,1.6
 Tucson,2016,11998,Manual,31022,Diesel,30,61.7,1.7
 I30,2017,10299,Semi-Auto,30335,Diesel,145,68.9,1.6
 Tucson,2019,23990,Semi-Auto,8125,Diesel,150,46.3,1.6
 I10,2014,5930,Manual,12590,Petrol,30,57.6,1.2
 IX35,2014,9295,Manual,31172,Diesel,145,53.3,1.7
 I20,2016,9590,Manual,20219,Petrol,30,58.9,1.0
 Tucson,2015,14250,Manual,47085,Diesel,145,54.3,2.0
 Tucson,2017,15750,Semi-Auto,19012,Diesel,145,57.6,1.7
 I10,2013,4965,Automatic,46211,Petrol,125,51.4,1.2
 I30,2018,9699,Manual,23064,Petrol,145,56.5,1.0
 I10,2014,6630,Manual,8896,Petrol,20,60.1,1.0
 I10,2016,7790,Manual,9862,Petrol,30,57.6,1.2
 I10,2016,5990,Manual,16985,Petrol,20,60.1,1.0
 IX20,2018,10990,Automatic,17167,Petrol,145,43.5,1.6
 I20,2017,7990,Manual,19952,Petrol,150,58.9,1.2
 I10,2014,6490,Manual,19874,Petrol,30,57.6,1.2
 I10,2016,7490,Manual,12965,Petrol,20,60.1,1.0
 I20,2016,8990,Automatic,20458,Petrol,165,42.2,1.4
 Santa Fe,2019,31680,Semi-Auto,2251,Diesel,145,40.9,2.2
 Tucson,2017,11998,Manual,27717,Diesel,150,61.7,1.7
 I40,2016,11598,Semi-Auto,29334,Diesel,125,56.5,1.7
 I20,2016,7495,Manual,17454,Petrol,30,56.5,1.2
 Ioniq,2018,18298,Automatic,9151,Hybrid,135,78.5,1.6
 Tucson,2017,14998,Manual,25123,Diesel,145,54.3,2.0
 Ioniq,2018,18498,Automatic,7999,Hybrid,135,78.5,1.6
 Tucson,2017,12998,Manual,15999,Diesel,145,61.7,1.7
 Tucson,2017,15795,Manual,23295,Diesel,200,47.9,2.0
 Tucson,2017,15980,Manual,22117,Diesel,30,61.7,1.7
 I10,2013,3995,Manual,58000,Petrol,20,61.4,1.2
 IX35,2014,8498,Manual,35452,Diesel,165,50.4,1.7
 IX20,2016,8495,Manual,2542,Petrol,125,50.4,1.4
 I10,2015,5950,Manual,26280,Petrol,30,57.6,1.2
 IX20,2016,9350,Automatic,31000,Petrol,165,43.5,1.6
 I10,2014,5700,Manual,37973,Petrol,30,57.6,1.2
 Tucson,2017,13998,Semi-Auto,30335,Diesel,150,57.6,1.7
 Tucson,2017,13998,Manual,26976,Diesel,145,61.7,1.7
 Ioniq,2019,15998,Automatic,11849,Hybrid,140,78.5,1.6
 Tucson,2017,14998,Semi-Auto,25597,Diesel,125,57.6,1.7
 Tucson,2018,13998,Manual,19377,Petrol,150,44.8,1.6
 Tucson,2019,15498,Manual,16553,Petrol,145,34.9,1.6
 I40,2015,9498,Manual,33036,Diesel,20,67.3,1.7
 Tucson,2017,15298,Semi-Auto,14737,Diesel,125,57.6,1.7
 I30,2017,9498,Manual,32361,Diesel,0,78.4,1.6
 I10,2017,7798,Manual,19812,Petrol,145,60.1,1.0
 Tucson,2016,10698,Manual,36567,Diesel,30,61.7,1.7
 Tucson,2017,15998,Semi-Auto,6436,Diesel,150,57.6,1.7
 Tucson,2018,13998,Manual,29315,Petrol,145,44.8,1.6
 I30,2019,17990,Manual,1771,Petrol,145,45.6,1.0
 I20,2020,12991,Manual,2637,Petrol,145,46.3,1.2
 I10,2020,11491,Manual,101,Petrol,145,56.5,1.0
 I10,2017,8120,Manual,34407,Petrol,145,57.7,1.2
 Tucson,2018,13998,Manual,16624,Petrol,150,44.8,1.6
 I20,2016,8350,Manual,28387,Petrol,30,56.5,1.2
 I10,2015,6620,Manual,20905,Petrol,30,57.6,1.2
 I20,2016,7340,Manual,47257,Petrol,0,65.7,1.0
 IX35,2015,9891,Manual,33910,Petrol,200,41.5,1.6
 I10,2017,6990,Manual,18732,Petrol,145,60.1,1.0
 I10,2018,7690,Manual,8623,Petrol,145,60.1,1.0
 Tucson,2017,13480,Manual,20607,Diesel,30,61.7,1.7
 I10,2019,7990,Manual,16330,Petrol,145,60.1,1.0
 I30,2016,9600,Manual,20394,Petrol,145,48.7,1.4
 Kona,2018,14590,Manual,7473,Petrol,145,52.3,1.0
 I10,2020,11490,Manual,101,Petrol,145,56.5,1.0
 Tucson,2020,20991,Semi-Auto,450,Petrol,145,36.2,1.6
 Kona,2020,16991,Manual,2622,Petrol,145,44.1,1.0
 Ioniq,2019,22720,Automatic,8492,Hybrid,135,78.5,1.6
 I30,2019,14990,Manual,988,Petrol,145,45.6,1.0
 Tucson,2017,12998,Semi-Auto,41418,Diesel,125,57.6,1.7
 Tucson,2017,11998,Manual,35731,Petrol,150,44.8,1.6
 I30,2015,7998,Manual,34978,Diesel,0,78.4,1.6
 Tucson,2017,14698,Semi-Auto,31960,Diesel,150,57.6,1.7
 I10,2015,6500,Manual,44444,Petrol,30,57.6,1.2
 IX35,2015,8595,Manual,29865,Diesel,145,53.3,1.7
 I10,2015,7595,Semi-Auto,10457,Petrol,145,47.9,1.2
 I800,2018,14790,Manual,39101,Diesel,145,37.7,2.5
 Kona,2018,14291,Manual,19012,Petrol,145,44.1,1.0
 Tucson,2019,21990,Automatic,3168,Hybrid,145,50.4,1.6
 Tucson,2018,12698,Manual,29268,Diesel,150,61.7,1.7
 Tucson,2019,21490,Manual,110,Petrol,145,34.9,1.6
 Ioniq,2018,18310,Automatic,6259,Hybrid,135,78.5,1.6
 Tucson,2018,16990,Semi-Auto,32482,Diesel,145,57.7,1.7
 Tucson,2018,13491,Manual,7719,Petrol,145,44.8,1.6
 I20,2016,7970,Manual,11,Petrol,30,55.4,1.2
 I30,2017,9990,Manual,41477,Diesel,145,74.3,1.6
 Kona,2018,15990,Manual,9106,Petrol,145,44.1,1.0
 I20,2019,11891,Manual,1583,Petrol,145,46.3,1.2
 I20,2019,11790,Manual,7097,Petrol,145,46.3,1.2
 Kona,2019,13491,Manual,9283,Petrol,150,44.1,1.0
 Tucson,2018,15691,Manual,9046,Petrol,145,44.8,1.6
 I20,2019,11430,Manual,3279,Petrol,145,46.3,1.2
 I20,2018,9991,Manual,8804,Petrol,145,58.9,1.2
 Tucson,2018,17570,Manual,16103,Petrol,145,38.7,1.6
 Tucson,2017,14860,Manual,20820,Diesel,145,54.3,2.0
 I20,2018,10249,Manual,19997,Petrol,145,46.3,1.2
 Tucson,2017,15040,Semi-Auto,12356,Diesel,125,57.6,1.7
 Kona,2019,14960,Manual,150,Petrol,145,44.1,1.0
 I20,2017,8480,Manual,10402,Petrol,145,58.9,1.2
 I20,2017,9080,Manual,22851,Petrol,145,55.4,1.2
 I20,2017,8260,Manual,14225,Petrol,145,58.9,1.2
 I30,2019,24995,Manual,500,Petrol,145,34.0,2.0
 I30,2017,9521,Manual,9866,Petrol,145,57.7,1.0
 Tucson,2018,15815,Automatic,27855,Diesel,145,47.1,2.0
 Tucson,2018,14099,Semi-Auto,32802,Diesel,145,57.6,1.7
 I800,2018,15794,Automatic,35460,Diesel,145,28.0,2.5
 I20,2016,9295,Manual,28106,Petrol,30,56.5,1.2
 Santa Fe,2014,14995,Semi-Auto,48900,Diesel,260,41.5,2.2
 I20,2013,5495,Manual,30252,Petrol,30,57.6,1.2
 I20,2014,5895,Manual,30950,Petrol,30,57.6,1.2
 I20,2014,5570,Manual,36642,Petrol,30,57.6,1.2
 I10,2019,9500,Manual,1000,Petrol,145,49.6,1.0
 I40,2017,11388,Manual,26500,Diesel,150,65.7,1.7
 Tucson,2017,14292,Manual,31382,Diesel,145,61.7,1.7
 Tucson,2016,11780,Semi-Auto,66899,Diesel,125,57.6,1.7
 Tucson,2016,10299,Manual,45000,Diesel,30,61.7,1.7
 Tucson,2017,12498,Manual,18145,Diesel,30,61.7,1.7
 I30,2014,6798,Manual,42332,Petrol,150,47.1,1.4
 Tucson,2017,10698,Manual,50408,Diesel,30,61.7,1.7
 Tucson,2017,14470,Semi-Auto,32939,Diesel,125,57.6,1.7
 Tucson,2017,18500,Semi-Auto,17378,Diesel,145,57.6,1.7
 I10,2017,6560,Manual,15628,Petrol,20,60.1,1.0
 Tucson,2017,14498,Manual,19674,Diesel,30,61.7,1.7
